0;0;32
1;1;212
2;2;181
3;3;367
4;4;167
5;5;162
6;6;209
7;7;247
8;8;141
9;9;360
10;10;234
11;12;374
12;19;130
13;20;240
14;21;98
15;22;80
16;23;54
17;24;419
18;25;42
19;26;215
20;27;34
21;28;256
22;30;266
23;38;219
24;52;277
25;56;227
26;57;223
27;66;231
28;77;87
29;78;286
30;79;81
31;85;306
32;86;88
33;93;113
34;94;105
35;95;101
36;102;108
37;109;120
38;110;116
39;117;123
40;129;131
41;137;340
42;139;145
43;140;142
44;143;371
45;144;146
46;154;210
47;161;390
48;166;364
49;180;182
50;214;216
51;218;220
52;222;224
53;226;228
54;230;232
55;233;237
56;238;243
57;246;251
58;252;261
59;262;271
60;280;361
61;284;294
62;285;288
63;287;290
64;289;291
65;292;298
66;293;295
67;297;300
68;299;302
69;301;303
70;304;314
71;305;308
72;307;310
73;309;311
74;312;318
75;313;315
76;317;320
77;319;322
78;321;323
79;327;379
80;338;344
81;339;341
82;342;408
83;343;345
84;370;372
85;373;377
86;378;382
87;386;395
88;393;399
89;407;409
419
